"Time","Air Temp - Lascar (high res)"
1627491900000,27.5
1627492200000,27.5
1627492500000,27.5
1627492800000,27.5
1627493100000,27.5
1627493400000,27.5
1627493700000,27.5
1627494000000,27
1627494300000,27
1627494600000,27
1627494900000,27
1627495200000,27
1627495500000,27
1627495800000,27
1627496100000,27
1627496400000,27
1627496700000,27
1627497000000,27
1627497300000,27
1627497600000,27
1627497900000,27
1627498200000,27
1627498500000,26.5
1627498800000,26.5
1627499100000,26.5
1627499400000,26.5
1627499700000,26.5
1627500000000,26.5
1627500300000,26.5
1627500600000,26.5
1627500900000,26.5
1627501200000,26.5
1627501500000,26.5
1627501800000,26.5
1627502100000,26.5
1627502400000,26
1627502700000,26
1627503000000,26
1627503300000,26
1627503600000,26
1627503900000,26
1627504200000,26
1627504500000,26
1627504800000,26
1627505100000,26
1627505400000,26
1627505700000,26
1627506000000,26
1627506300000,25.5
1627506600000,25.5
1627506900000,25.5
1627507200000,25.5
1627507500000,25.5
1627507800000,25.5
1627508100000,25.5
1627508400000,25.5
1627508700000,25.5
1627509000000,25.5
1627509300000,25.5
1627509600000,25.5
1627509900000,25.5
1627510200000,25.5
1627510500000,25.5
1627510800000,25.5
1627511100000,25.5
1627511400000,25.5
1627511700000,25.5
1627512000000,25.5
1627512300000,25.5
1627512600000,25.5
1627512900000,25.5
1627513200000,25.5
1627513500000,25.5
1627513800000,25
1627514100000,25
1627514400000,25
1627514700000,25
1627515000000,25
1627515300000,25
1627515600000,25
1627515900000,25
1627516200000,25
1627516500000,25
1627516800000,25
1627517100000,25
1627517400000,25
1627517700000,25
1627518000000,25
1627518300000,25
1627518600000,25
1627518900000,25
1627519200000,25
1627519500000,25
1627519800000,25
1627520100000,25
1627520400000,25
1627520700000,25
1627521000000,25
1627521300000,25
1627521600000,25
1627521900000,25
1627522200000,25
1627522500000,25
1627522800000,25
1627523100000,25
1627523400000,25
1627523700000,24.5
1627524000000,24.5
1627524300000,24.5
1627524600000,24.5
1627524900000,24.5
1627525200000,24.5
1627525500000,24.5
1627525800000,24.5
1627526100000,24.5
1627526400000,24.5
1627526700000,24.5
1627527000000,24.5
1627527300000,24.5
1627527600000,24.5
1627527900000,24.5
1627528200000,24.5
1627528500000,24.5
1627528800000,24.5
1627529100000,24.5
1627529400000,24.5
1627529700000,24.5
1627530000000,24.5
1627530300000,24.5
1627530600000,24.5
1627530900000,24.5
1627531200000,24.5
1627531500000,24.5
1627531800000,24.5
1627532100000,24.5
1627532400000,24.5
1627532700000,24.5
1627533000000,24.5
1627533300000,24.5
1627533600000,24.5
1627533900000,24.5
1627534200000,24.5
1627534500000,24.5
1627534800000,24.5
1627535100000,24.5
1627535400000,24.5
1627535700000,24
1627536000000,24
1627536300000,24
1627536600000,24
1627536900000,24
1627537200000,24
1627537500000,24
1627537800000,24
1627538100000,24
1627538400000,24
1627538700000,24
1627539000000,24
1627539300000,24
1627539600000,24
1627539900000,24
1627540200000,24
1627540500000,24
1627540800000,24
1627541100000,24
1627541400000,24
1627541700000,24
1627542000000,24
1627542300000,24
1627542600000,24
1627542900000,24
1627543200000,24
1627543500000,24
1627543800000,24
1627544100000,24
1627544400000,24
1627544700000,24
1627545000000,24
1627545300000,24
1627545600000,24
1627545900000,24
1627546200000,24
1627546500000,24
1627546800000,24
1627547100000,24
1627547400000,24
1627547700000,24
1627548000000,24
1627548300000,24
1627548600000,24
1627548900000,24
1627549200000,24
1627549500000,24
1627549800000,24
1627550100000,24
1627550400000,24
1627550700000,24
1627551000000,24
1627551300000,24
1627551600000,24
1627551900000,24
1627552200000,24
1627552500000,24
1627552800000,24
1627553100000,24
1627553400000,24
1627553700000,24
1627554000000,24
1627554300000,24
1627554600000,24
1627554900000,24
1627555200000,24
1627555500000,24
1627555800000,24
1627556100000,24
1627556400000,24
1627556700000,24
1627557000000,24
1627557300000,24
1627557600000,24
1627557900000,24
1627558200000,24
1627558500000,24
1627558800000,24
1627559100000,24
1627559400000,24
1627559700000,24
1627560000000,24
1627560300000,24
1627560600000,24
1627560900000,24
1627561200000,24
1627561500000,24.5
1627561800000,24.5
1627562100000,24.5
1627562400000,24.5
1627562700000,24.5
1627563000000,24.5
1627563300000,24.5
1627563600000,24.5
1627563900000,24.5
1627564200000,24.5
1627564500000,24.5
1627564800000,24.5
1627565100000,24.5
1627565400000,24.5
1627565700000,24.5
1627566000000,24.5
1627566300000,24.5
1627566600000,24
1627566900000,24
1627567200000,24
1627567500000,24
1627567800000,24
1627568100000,24
1627568400000,24
1627568700000,24
1627569000000,24
1627569300000,24
1627569600000,24
1627569900000,24
1627570200000,24
1627570500000,24
1627570800000,24
1627571100000,24
1627571400000,24
1627571700000,24
1627572000000,24
1627572300000,24
1627572600000,24
1627572900000,24
1627573200000,24
1627573500000,24
1627573800000,24
1627574100000,24
1627574400000,24
1627574700000,24
1627575000000,24
1627575300000,24
1627575600000,24.5
1627575900000,24.5
1627576200000,24.5
1627576500000,24.5
1627576800000,24.5
1627577100000,24.5
1627577400000,24.5
1627577700000,24.5
1627578000000,24
1627578300000,24
1627578600000,24
1627578900000,24
1627579200000,24
1627579500000,24
1627579800000,24
1627580100000,24
1627580400000,24
1627580700000,24
1627581000000,24
1627581300000,24
1627581600000,24
1627581900000,24
1627582200000,24
1627582500000,24
1627582800000,24
1627583100000,24
1627583400000,24
1627583700000,24
1627584000000,24
1627584300000,24
1627584600000,24
1627584900000,24
1627585200000,24
1627585500000,24
1627585800000,24
1627586100000,24
1627586400000,24
1627586700000,24
1627587000000,24
1627587300000,24
1627587600000,24
1627587900000,24
1627588200000,24
1627588500000,24
1627588800000,24
1627589100000,24
1627589400000,23.5
1627589700000,23.5
1627590000000,23.5
1627590300000,23.5
1627590600000,23.5
1627590900000,23.5
1627591200000,23.5
1627591500000,23.5
1627591800000,23.5
1627592100000,23.5
1627592400000,23.5
1627592700000,23.5
1627593000000,23.5
1627593300000,23.5
1627593600000,23.5
1627593900000,23.5
1627594200000,23.5
1627594500000,23.5
1627594800000,23.5
1627595100000,23.5
1627595400000,23.5
1627595700000,23.5
1627596000000,23.5
1627596300000,23.5
1627596600000,23.5
1627596900000,23.5
1627597200000,23.5
1627597500000,23.5
1627597800000,23.5
1627598100000,23.5
1627598400000,23.5
1627598700000,23.5
1627599000000,23.5
1627599300000,23.5
1627599600000,23.5
1627599900000,23.5
1627600200000,23.5
1627600500000,23.5
1627600800000,23.5
1627601100000,23.5
1627601400000,23.5
1627601700000,23.5
1627602000000,23.5
1627602300000,23.5
1627602600000,23.5
1627602900000,23.5
1627603200000,23.5
1627603500000,23.5
1627603800000,23.5
1627604100000,23.5
1627604400000,23.5
1627604700000,23.5
1627605000000,23
1627605300000,23
1627605600000,23
1627605900000,23
1627606200000,23
1627606500000,23
1627606800000,23
1627607100000,23
1627607400000,23
1627607700000,23
1627608000000,23
1627608300000,23
1627608600000,23
1627608900000,23
1627609200000,23
1627609500000,23
1627609800000,23
1627610100000,23
1627610400000,23
1627610700000,23
1627611000000,23
1627611300000,23
1627611600000,23
1627611900000,23
1627612200000,23
1627612500000,23
1627612800000,23
1627613100000,23
1627613400000,23
1627613700000,23
1627614000000,23
1627614300000,23
1627614600000,23
1627614900000,23
1627615200000,23
1627615500000,23
1627615800000,23
1627616100000,23
1627616400000,23
1627616700000,23
1627617000000,23
1627617300000,23
1627617600000,23
1627617900000,23
1627618200000,23
1627618500000,23
1627618800000,23
1627619100000,23
1627619400000,23
1627619700000,23
1627620000000,23
1627620300000,23
1627620600000,23
1627620900000,23
1627621200000,23
1627621500000,23
1627621800000,23
1627622100000,23
1627622400000,22.5
1627622700000,22.5
1627623000000,22.5
1627623300000,22.5
1627623600000,22.5
1627623900000,22.5
1627624200000,22.5
1627624500000,22.5
1627624800000,22.5
1627625100000,22.5
1627625400000,22.5
1627625700000,22.5
1627626000000,22.5
1627626300000,22.5
1627626600000,22.5
1627626900000,22.5
1627627200000,22.5
1627627500000,22.5
1627627800000,22.5
1627628100000,22.5
1627628400000,22.5
1627628700000,22.5
1627629000000,22.5
1627629300000,22.5
1627629600000,22.5
1627629900000,22.5
1627630200000,22.5
1627630500000,22.5
1627630800000,22.5
1627631100000,22.5
1627631400000,22.5
1627631700000,22.5
1627632000000,22.5
1627632300000,22.5
1627632600000,22.5
1627632900000,22.5
1627633200000,22.5
1627633500000,22.5
1627633800000,22.5
1627634100000,22.5
1627634400000,22.5
1627634700000,23
1627635000000,23
1627635300000,23
1627635600000,23
1627635900000,23
1627636200000,23
1627636500000,23
1627636800000,23
1627637100000,23
1627637400000,23
1627637700000,23
1627638000000,23
1627638300000,23
1627638600000,23
1627638900000,23
1627639200000,23
1627639500000,23
1627639800000,23
1627640100000,23
1627640400000,23
1627640700000,23
1627641000000,23
1627641300000,23
1627641600000,23
1627641900000,23
1627642200000,23
1627642500000,23
1627642800000,23
1627643100000,23
1627643400000,23
1627643700000,23
1627644000000,23
1627644300000,23
1627644600000,23
1627644900000,23
1627645200000,23
1627645500000,23
1627645800000,23
1627646100000,23
1627646400000,23
1627646700000,23
1627647000000,23
1627647300000,23
1627647600000,23
1627647900000,23
1627648200000,23
1627648500000,23
1627648800000,23.5
1627649100000,23.5
1627649400000,23.5
1627649700000,23.5
1627650000000,23.5
1627650300000,23.5
1627650600000,23.5
1627650900000,23.5
1627651200000,23.5
1627651500000,23.5
1627651800000,23.5
1627652100000,23.5
1627652400000,23.5
1627652700000,23.5
1627653000000,23.5
1627653300000,23.5
1627653600000,23.5
1627653900000,23.5
1627654200000,23.5
1627654500000,23.5
1627654800000,23.5
1627655100000,23.5
1627655400000,23.5
1627655700000,23.5
1627656000000,23.5
1627656300000,23.5
1627656600000,23.5
1627656900000,23.5
1627657200000,23.5
1627657500000,23.5
1627657800000,23.5
1627658100000,23.5
1627658400000,23.5
1627658700000,23.5
1627659000000,23.5
1627659300000,23.5
1627659600000,23.5
1627659900000,23.5
1627660200000,23.5
1627660500000,23.5
1627660800000,23.5
1627661100000,23.5
1627661400000,23.5
1627661700000,23.5
1627662000000,23.5
1627662300000,23.5
1627662600000,23.5
1627662900000,23.5
1627663200000,23.5
1627663500000,23.5
1627663800000,23.5
1627664100000,23.5
1627664400000,23.5
1627664700000,23.5
1627665000000,23.5
1627665300000,23.5
1627665600000,23.5
1627665900000,23.5
1627666200000,23.5
1627666500000,23.5
1627666800000,23.5
1627667100000,23.5
1627667400000,23.5
1627667700000,23.5
1627668000000,23.5
1627668300000,23.5
1627668600000,23.5
1627668900000,23.5
1627669200000,23.5
1627669500000,23.5
1627669800000,23.5
1627670100000,23.5
1627670400000,23.5
1627670700000,23.5
1627671000000,23.5
1627671300000,23.5
1627671600000,23.5
1627671900000,23.5
1627672200000,23.5
1627672500000,23.5
1627672800000,23.5
1627673100000,23.5
1627673400000,23.5
1627673700000,23.5
1627674000000,23.5
1627674300000,23
1627674600000,23
1627674900000,23
1627675200000,23
1627675500000,23
1627675800000,23
1627676100000,23
1627676400000,23
1627676700000,23
1627677000000,23
1627677300000,23
1627677600000,23
1627677900000,23
1627678200000,23
1627678500000,23
1627678800000,23
1627679100000,23
1627679400000,23
1627679700000,23
1627680000000,23
1627680300000,23
1627680600000,23
1627680900000,23
1627681200000,23
1627681500000,23
1627681800000,23
1627682100000,23
1627682400000,23
1627682700000,23
1627683000000,23
1627683300000,23
1627683600000,23
1627683900000,23
1627684200000,23
1627684500000,23
1627684800000,23
1627685100000,23
1627685400000,23
1627685700000,23
1627686000000,23
1627686300000,23
1627686600000,23
1627686900000,23
1627687200000,23
1627687500000,23
1627687800000,23
1627688100000,23
1627688400000,23
1627688700000,23
1627689000000,23
1627689300000,23
1627689600000,22.5
1627689900000,22.5
1627690200000,22.5
1627690500000,22.5
1627690800000,22.5
1627691100000,22.5
1627691400000,22.5
1627691700000,22.5
1627692000000,22.5
1627692300000,22.5
1627692600000,22.5
1627692900000,22.5
1627693200000,22.5
1627693500000,22.5
1627693800000,22.5
1627694100000,22.5
1627694400000,22.5
1627694700000,22.5
1627695000000,22.5
1627695300000,22.5
1627695600000,22.5
1627695900000,22.5
1627696200000,22.5
1627696500000,22.5
1627696800000,22.5
1627697100000,22.5
1627697400000,22.5
1627697700000,22.5
1627698000000,22.5
1627698300000,22.5
1627698600000,22.5
1627698900000,22.5
1627699200000,22.5
1627699500000,22.5
1627699800000,22.5
1627700100000,22.5
1627700400000,22.5
1627700700000,22.5
1627701000000,22.5
1627701300000,22.5
1627701600000,22.5
1627701900000,22.5
1627702200000,22.5
1627702500000,22.5
1627702800000,22.5
1627703100000,22.5
1627703400000,22.5
1627703700000,22.5
1627704000000,22.5
1627704300000,22.5
1627704600000,22.5
1627704900000,22.5
1627705200000,22.5
1627705500000,22.5
1627705800000,22.5
1627706100000,22.5
1627706400000,22.5
1627706700000,22.5
1627707000000,22.5
1627707300000,22.5
1627707600000,22.5
1627707900000,22.5
1627708200000,22.5
1627708500000,22.5
1627708800000,22.5
1627709100000,22.5
1627709400000,22.5
1627709700000,22.5
1627710000000,22.5
1627710300000,22.5
1627710600000,22.5
1627710900000,22.5
1627711200000,22.5
1627711500000,22.5
1627711800000,22.5
1627712100000,22.5
1627712400000,22.5
1627712700000,22.5
1627713000000,22.5
1627713300000,22.5
1627713600000,22.5
1627713900000,22.5
1627714200000,22.5
1627714500000,22.5
1627714800000,22.5
1627715100000,22.5
1627715400000,22.5
1627715700000,22.5
1627716000000,22.5
1627716300000,22.5
1627716600000,22.5
1627716900000,22.5
1627717200000,22.5
1627717500000,22.5
1627717800000,22.5
1627718100000,22.5
1627718400000,22.5
1627718700000,22.5
1627719000000,22.5
1627719300000,22.5
1627719600000,22.5
1627719900000,22.5
1627720200000,22.5
1627720500000,22.5
1627720800000,22.5
1627721100000,22.5
1627721400000,22.5
1627721700000,22.5
1627722000000,22.5
1627722300000,22.5
1627722600000,22.5
1627722900000,22.5
