Time,Air Temperature (full resolution)
1610093400000,0.718
1610094000000,0.737
1610094600000,0.656
1610095200000,0.68
1610095800000,0.613
1610096400000,0.652
1610097000000,0.656
1610097600000,0.751
1610098200000,0.87
1610098800000,0.813
1610099400000,0.817
1610100000000,0.841
1610100600000,0.823
1610101200000,0.87
1610101800000,0.803
1610102400000,0.751
1610103000000,0.784
1610103600000,0.742
1610104200000,0.723
1610104800000,0.713
1610105400000,0.756
1610106000000,0.856
1610106600000,0.837
1610107200000,0.841
1610107800000,0.884
1610108400000,0.87
1610109000000,0.918
1610109600000,0.898
1610110200000,0.974
1610110800000,0.932
1610111400000,0.903
1610112000000,0.784
1610112600000,0.746
1610113200000,0.67
1610113800000,0.628
1610114400000,0.608
1610115000000,0.59
1610115600000,0.404
1610116200000,0.295
1610116800000,0.11
1610117400000,0.001
1610118000000,-0.061
1610118600000,-0.128
1610119200000,-0.208
1610119800000,-0.242
1610120400000,-0.232
1610121000000,-0.242
1610121600000,-0.27
1610122200000,-0.237
1610122800000,-0.237
1610123400000,-0.212
1610124000000,-0.175
1610124600000,-0.188
1610125200000,-0.145
1610125800000,-0.027
1610126400000,0.034
1610127000000,0.086
1610127600000,0.186
1610128200000,0.2
1610128800000,0.167
1610129400000,0.158
1610130000000,0.181
1610130600000,0.081
1610131200000,0.062
1610131800000,-0.004
1610132400000,-0.095
1610133000000,-0.151
1610133600000,-0.256
1610134200000,-0.312
1610134800000,-0.269
1610135400000,-0.311
1610136000000,-0.401
1610136600000,-0.359
1610137200000,-0.663
1610137800000,-0.877
1610138400000,-0.725
1610139000000,-0.683
1610139600000,-0.791
1610140200000,-0.951
1610140800000,-1.102
1610141400000,-1.383
1610142000000,-1.488
1610142600000,-1.639
1610143200000,-1.595
1610143800000,-1.822
1610144400000,-1.823
1610145000000,-1.717
1610145600000,-1.935
1610146200000,-2.044
1610146800000,-1.753
1610147400000,-1.393
1610148000000,-1.203
1610148600000,-1.255
1610149200000,-1.171
1610149800000,-1.101
1610150400000,-0.996
1610151000000,-1.061
1610151600000,-1.005
1610152200000,-0.716
1610152800000,-0.456
1610153400000,-0.304
1610154000000,-0.152
1610154600000,-0.189
1610155200000,-0.168
1610155800000,-0.264
1610156400000,-0.329
1610157000000,-0.34
1610157600000,-0.401
1610158200000,-0.426
1610158800000,-0.454
1610159400000,-0.336
1610160000000,-0.498
1610160600000,-0.758
1610161200000,-0.875
1610161800000,-0.817
1610162400000,-0.677
1610163000000,-0.754
1610163600000,-0.8
1610164200000,-0.88
1610164800000,-0.996
1610165400000,-1.191
1610166000000,-1.163
1610166600000,-0.957
1610167200000,-0.67
1610167800000,-0.328
1610168400000,-0.487
1610169000000,-0.721
1610169600000,-0.575
1610170200000,-0.642
1610170800000,-0.574
1610171400000,-0.593
1610172000000,-0.677
1610172600000,-0.535
1610173200000,-0.435
1610173800000,-0.511
1610174400000,-0.658
1610175000000,-0.733
1610175600000,-0.78
1610176200000,-0.85
1610176800000,-0.751
1610177400000,-0.946
1610178000000,-1.283
1610178600000,-1.139
1610179200000,-1.093
1610179800000,-1.141
1610180400000,-1.265
1610181000000,-1.436
1610181600000,-1.54
1610182200000,-1.459
1610182800000,-1.312
1610183400000,-1.088
1610184000000,-0.894
1610184600000,-0.589
1610185200000,-0.438
1610185800000,-0.14
1610186400000,-0.025
1610187000000,0.215
1610187600000,0.335
1610188200000,0.401
1610188800000,0.496
1610189400000,0.615
1610190000000,0.653
1610190600000,0.761
1610191200000,0.865
1610191800000,0.908
1610192400000,1.032
1610193000000,1.193
1610193600000,1.393
1610194200000,1.535
1610194800000,1.821
1610195400000,1.884
1610196000000,1.498
1610196600000,1.421
1610197200000,1.346
1610197800000,1.407
1610198400000,1.493
1610199000000,1.498
1610199600000,1.464
1610200200000,1.488
1610200800000,1.869
1610201400000,2.072
1610202000000,1.805
1610202600000,1.597
1610203200000,1.459
1610203800000,1.46
1610204400000,1.45
1610205000000,1.521
1610205600000,1.506
1610206200000,1.445
1610206800000,1.279
1610207400000,1.132
1610208000000,1.119
1610208600000,1.089
1610209200000,1.132
1610209800000,0.992
1610210400000,0.908
1610211000000,0.841
1610211600000,0.736
1610212200000,0.733
1610212800000,0.894
1610213400000,1.274
1610214000000,1.397
1610214600000,1.531
1610215200000,1.892
1610215800000,2.148
1610216400000,2.557
1610217000000,2.76
1610217600000,2.908
1610218200000,3.05
1610218800000,2.507
1610219400000,2.113
1610220000000,2.349
1610220600000,2.625
1610221200000,2.948
1610221800000,3.137
1610222400000,3.311
1610223000000,3.312
1610223600000,3.487
1610224200000,3.601
1610224800000,3.767
1610225400000,3.86
1610226000000,3.831
1610226600000,3.857
1610227200000,3.893
1610227800000,3.981
1610228400000,3.991
1610229000000,3.948
1610229600000,3.886
1610230200000,3.886
1610230800000,3.924
1610231400000,4.038
1610232000000,4.071
1610232600000,4.014
1610233200000,4
1610233800000,4.038
1610234400000,4.024
1610235000000,3.938
1610235600000,4.005
1610236200000,4.085
1610236800000,4.147
1610237400000,4.062
1610238000000,4.019
1610238600000,4.057
1610239200000,4.128
1610239800000,4.123
1610240400000,4.171
1610241000000,4.159
1610241600000,4.184
1610242200000,4.214
1610242800000,4.179
1610243400000,4.233
1610244000000,4.195
1610244600000,4.262
1610245200000,4.233
1610245800000,4.287
1610246400000,4.22
1610247000000,4.369
1610247600000,4.384
1610248200000,4.405
1610248800000,4.457
1610249400000,4.455
1610250000000,4.487
1610250600000,4.596
1610251200000,4.635
1610251800000,4.689
1610252400000,4.594
1610253000000,4.57
1610253600000,4.603
1610254200000,4.513
1610254800000,4.427
1610255400000,4.508
1610256000000,4.736
1610256600000,4.76
1610257200000,4.731
1610257800000,4.878
1610258400000,4.997
1610259000000,5.059
1610259600000,4.987
1610260200000,4.736
1610260800000,4.665
1610261400000,4.679
1610262000000,4.75
1610262600000,4.879
1610263200000,5.026
1610263800000,5.101
1610264400000,5.078
1610265000000,5.12
1610265600000,5.192
1610266200000,5.158
1610266800000,5.154
