"Time","Radiance (high res)"
1621964880000,23.4
1621965000000,23.4
1621965120000,23.4
1621965240000,23.4
1621965360000,23.4
1621965480000,23.4
1621965600000,23.4
1621965720000,23.4
1621965840000,23.4
1621965960000,23.4
1621966080000,23.4
1621966200000,23.4
1621966320000,23.3
1621966440000,23.3
1621966560000,23.3
1621966680000,23.3
1621966800000,23.3
1621966920000,23.3
1621967040000,23.3
1621967160000,23.3
1621967280000,23.3
1621967400000,23.3
1621967520000,23.3
1621967640000,23.3
1621967760000,23.3
1621967880000,23.3
1621968000000,23.2
1621968120000,23.2
1621968240000,23.2
1621968360000,23.2
1621968480000,23.2
1621968600000,23.2
1621968720000,23.2
1621968840000,23.2
1621968960000,23.2
1621969080000,23.2
1621969200000,23.2
1621969320000,23.2
1621969440000,23.2
1621969560000,23.2
1621969680000,23.2
1621969800000,23.2
1621969920000,23.2
1621970040000,23.2
1621970160000,23.2
1621970280000,23.2
1621970400000,23.2
1621970520000,23.2
1621970640000,23.2
1621970760000,23.2
1621970880000,23.2
1621971000000,23.2
1621971120000,23.2
1621971240000,23.2
1621971360000,23.1
1621971480000,23.1
1621971600000,23.1
1621971720000,23.1
1621971840000,23.1
1621971960000,23.1
1621972080000,23.1
1621972200000,23.1
1621972320000,23.1
1621972440000,23.1
1621972560000,23.1
1621972680000,23
1621972800000,23
1621972920000,23
1621973040000,23
1621973160000,23
1621973280000,22.9
1621973400000,22.9
1621973520000,22.9
1621973640000,22.9
1621973760000,22.9
1621973880000,22.9
1621974000000,22.9
1621974120000,22.9
1621974240000,22.9
1621974360000,22.9
1621974480000,22.9
1621974600000,22.9
1621974720000,22.9
1621974840000,22.9
1621974960000,22.9
1621975080000,22.9
1621975200000,22.8
1621975320000,22.8
1621975440000,22.8
1621975560000,22.8
1621975680000,22.8
1621975800000,22.8
1621975920000,22.8
1621976040000,22.8
1621976160000,22.8
1621976280000,22.8
1621976400000,22.8
1621976520000,22.8
1621976640000,22.8
1621976760000,22.8
1621976880000,22.7
1621977000000,22.7
1621977120000,22.7
1621977240000,22.7
1621977360000,22.7
1621977480000,22.7
1621977600000,22.7
1621977720000,22.7
1621977840000,22.7
1621977960000,22.7
1621978080000,22.7
1621978200000,22.7
1621978320000,22.7
1621978440000,22.6
1621978560000,22.6
1621978680000,22.6
1621978800000,22.6
1621978920000,22.6
1621979040000,22.6
1621979160000,22.6
1621979280000,22.6
1621979400000,22.6
1621979520000,22.6
1621979640000,22.6
1621979760000,22.6
1621979880000,22.6
1621980000000,22.6
1621980120000,22.6
1621980240000,22.6
1621980360000,22.5
1621980480000,22.5
1621980600000,22.5
1621980720000,22.5
1621980840000,22.5
1621980960000,22.5
1621981080000,22.5
1621981200000,22.5
1621981320000,22.4
1621981440000,22.4
1621981560000,22.4
1621981680000,22.4
1621981800000,22.4
1621981920000,22.4
1621982040000,22.4
1621982160000,22.4
1621982280000,22.4
1621982400000,22.4
1621982520000,22.4
1621982640000,22.4
1621982760000,22.4
1621982880000,22.4
1621983000000,22.4
1621983120000,22.4
1621983240000,22.4
1621983360000,22.4
1621983480000,22.4
1621983600000,22.3
1621983720000,22.3
1621983840000,22.3
1621983960000,22.3
1621984080000,22.3
1621984200000,22.3
1621984320000,22.3
1621984440000,22.3
1621984560000,22.3
1621984680000,22.3
1621984800000,22.3
1621984920000,22.3
1621985040000,22.3
1621985160000,22.3
1621985280000,22.3
1621985400000,22.3
1621985520000,22.3
1621985640000,22.3
1621985760000,22.2
1621985880000,22.2
1621986000000,22.2
1621986120000,22.2
1621986240000,22.2
1621986360000,22.2
1621986480000,22.2
1621986600000,22.2
1621986720000,22.2
1621986840000,22.2
1621986960000,22.2
1621987080000,22.2
1621987200000,22.2
1621987320000,22.2
1621987440000,22.2
1621987560000,22.2
1621987680000,22.1
1621987800000,22.1
1621987920000,22.1
1621988040000,22.1
1621988160000,22.1
1621988280000,22.1
1621988400000,22.1
1621988520000,22.1
1621988640000,22.1
1621988760000,22.1
1621988880000,22.1
1621989000000,22.1
1621989120000,22.1
1621989240000,22.1
1621989360000,22.1
1621989480000,22.1
1621989600000,22
1621989720000,22
1621989840000,22
1621989960000,22
1621990080000,22
1621990200000,22
1621990320000,22
1621990440000,22
1621990560000,21.9
1621990680000,21.9
1621990800000,21.9
1621990920000,21.9
1621991040000,21.9
1621991160000,21.9
1621991280000,21.9
1621991400000,21.9
1621991520000,21.9
1621991640000,21.9
1621991760000,21.9
1621991880000,21.9
1621992000000,21.9
1621992120000,21.9
1621992240000,21.9
1621992360000,21.9
1621992480000,21.9
1621992600000,21.9
1621992720000,21.8
1621992840000,21.8
1621992960000,21.8
1621993080000,21.8
1621993200000,21.8
1621993320000,21.8
1621993440000,21.8
1621993560000,21.8
1621993680000,21.8
1621993800000,21.8
1621993920000,21.8
1621994040000,21.8
1621994160000,21.8
1621994280000,21.8
1621994400000,21.8
1621994520000,21.8
1621994640000,21.7
1621994760000,21.7
1621994880000,21.7
